,0
77,비디오 에디팅홈페이지 제작에세이지금하고있는 이 DVD 커버까지 네개의 과제가 다담주까지인데 ㅜㅜ DVD 에서 너무 시간을 뺏기고있네요 ㅠㅠ 오늘밤은 아이디어 고갈로 여기서 멈춥니다 ㅜㅜ 이웃님들... 
78,다른 선배 마미님들의 조언과 장난감 추천 부탁 드립니다- 이건 할미의 아이디어. 아주 음청 좋아한 딸기 주무르기! 바나나로도 해주고 아래 나오지만 국수로도 해줘봤는데... 딸기만한게 없더라! 색감도 있고... 
79,"아이디어가 고갈된 디자이너를 위한 책 세트 : 그래픽 디자인 편, 로고 디자인 편, 타이포그래피 편, 일러스트레이션 편 (총 권) 전 세계 전설적인 디자이너들이 알려주는 '새로운 아이디어'의 비밀!... "
80,독창적이어야 한다는 걱정은 버려라.&quot; -세기 그래픽 디자인의 선구자 폴 랜드 얼마 전 출간되어 여러 온라인 서점들에서 예술디자인 분야 베스트셀러로 올라가 있는 &lt;아이디어가 고갈된 디자이너를 위한 책... 
81,"아이디어가 고갈된 디자이너를 위한 책 : 일러스트레이션 편 저자 스티븐 헬러, 게일 앤더슨 출판 더숲 발매 ... 이 책 제목을 보고 반가워서 집어든것은 아니다. 요즘 나는 딱히 아이디어를 낼 일이 없다.... "
82,아이디어의 고갈이 문제. 썬도그 . . . : 제가 중고등학교때 구매한 크리스마스 씰입니다. 크리스마스 씰은 후진국형 병이라는 결핵환자를 돕기 위해 우표모양의 기금모금용으로 매년 발행하고... 
83,"엄마표 미술을 해오고 있는 저는 극심한 아이디어고갈로 놀잇감을 주문해보았습니다^^ 쿠팡에서 찾은 민화샵EVA인데요, 유치원 참여수업때 했던 것들이 많이 있더라고요~! 개별 가격은 모두 원 이내였고... "
84,"신혼 밥상차리기 ♪ 아이디어 고갈중 ㅋㅋㅋㅋ 신혼이 된지 얼마나 됐다고. 신혼 밥상, 아이디어가 떨어지고 있어요 ㅋㅋ 이제 내 한계라며 . ㅋㅋㅋ 더 이상 새로운 음식을 할 수가 없다며 ㅋㅋㅋㅋㅋㅋ 매번... "
85,그나마 낙으로 살던 야매요리도 생각이 안나.....에잉에잉....엉엉엉 아이디어를 주슝.... 이 멘붕변죽녀에게 빛을 주슝.......... ㅋㅋㅋㅋㅋㅋㅋㅋ 핑거푸드 아이디어를 주슝... 후라이소녀와 한참을 대화... 
86,하트 아이디어 고갈되었다며ㅠㅠㅠ 왜 볼 때마다 뭐가 늘어있어ㅠㅠㅠㅠㅠ 이 예쁜 사람아ㅜㅜㅜㅜ 아 진짜 남우현 천상 아이도루ㅠㅠㅠㅠㅠ 뒤에 물러나서도 씐난 우효니 봐죠ㅠㅠㅠㅠㅠㅠ 망망이야ㅜㅜㅜ 눈... 
87,"스킨 아이디어 고갈...? 블로그 스킨.... 번째까지 왔다. 사실 올해 번째를 채우고 싶었지만, 매번 아이디어도 문제가 있고... 사실 이렇게 스킨을 단색으로 처리한다는것은 그만큼 아이디어가 없다는... "
88,님들 살려주세요.. 언텔 상황문답 아이디어 고갈 됐음요.. 소재 신청 해주세요..ㅁ
89,금세 밀리는 일기- 삼천포에서의 생활은 하루하루가 소중♥ 매일 똑같아 보여도 잘 기록해둬야지!! 가을 시작될 즈음 비오니깐 에코백에 따뜻한 커피 뤼요네 조식 뤼요네 저녁 장을 보긴 보는것 같은데... 
90,"까보쩜빵 판매할 상품들 모두 재단해놓고 재봉질 할 차례만 남았는데, 왜 그렇게 스위치 켜는게 싫던지 ... 하늘은 뿌얘도 봄이라 근가봐 ~~ 마침 아는 동생이 살짜리 딸이랑 놀러와서 이틀을 지내면서 신나게... "
91,"이제 전자책으로도 &lt;아이디어가 고갈된 디자이너를 위한 책&gt; 시리즈를 모두 만나보실 수 있습니다! 그래픽 디자인 편 외에도 로고 디자인 편, 타이포그래피 편, 일러스트레이션 편의 전자책을... "
92,제목뭐하지 어느날 한 소녀에게 떨어진 드레스코드자컨 하...내가생각한건이런게아니엇어요 초록색옷이라니뭔말도안되는소리임 하지만오빠들아 원한다면 이런거라도 하고가려고요 퍼플사워블렌디드? 라는 걸... 
93,안니옹 슬슬 귀찮아지고 있어서 이제부터는 매주 오늘이 마지막 포스팅이라는 마음으로 작성해 보겠습니다. 여름이었다... 당연함 여름임 월 마지막주 사진으로 시작합니다. 이 날은 그냥 집에 가고... 
94,"안녕하세요, 이웃님들? 오늘은 힙하게 시작합니다. .. 월요일 화요일이 예비수강신청날이라서 무사님과의 줌독이 일찍 끝나고 새벽에 타닥-탁-탁.. 시간표를 짜보는데,, 갑자기 교양 난관과 교직의 숲에... "
95,대충..아이디어가 더 떨어졌다. 이제 스토리라던가 뭐 그런것도 떠오르지도 않고 그냥 뭐 무슨 촉수를 사람 몸 안에 생성시켜서 몸을 터트린다거나 상대방의 몸을 촉수로 관통시키고 거기에 불을... 
96,요 며칠 식단 포스팅이 없는 이유는 갑작스런 애미의 담낭염 증상 발현으로 사진 찍고 글을 쓰고 할 여력이 없었음도 있고 반복적인 밑반찬에 갈치와 가자미 튀기고 돌솥비빔밥도 한 번 하고 간단히... 
97,"아이디어 고갈....!!!! 지구시민운동...에 대한 아이디어가 잘 안떠오른다... 문득,,, 내 몸자체가 지구시민운동이고 싶다...!!! 그냥 온몸으로 행위하는 모든 것이 지구시민운동이면 어떨까? ^^ .... 마찬가지로... "
98,드디어 아이디어가 고갈됐다. 아무리 생각해도 쓸 말이 생각나지 않는다. ㅎㅎㅎ 분동안 앉아서 아래 한 줄 썼다. &quot;지금 해야 할 일이 뭘까? 우선 생계를 유지할 수입부터 만들어야 한다. 경매를 해야하나?... 
99,블챌.. 진짜 힘들구나. 멀 써야할지 모르겠어요. 나 주째 이번주는 꼭 일상글 올릴게요 이지랄 했더라고.. 이번주는 진짜 진짜 진짜로!!!! 안쓰겠슴니둥. 딱히 쓸 것도 없고 짤털이나 해볼까요? 마트 갔던 미니.... 
100,"항상 새롭고 참신한 아이디어가 떠오르면 좋겠지만, 반복적인 일과를 보내다 보면 아이디어가 종종 고갈 되더라고요.. 휴식도 취할겸 여행을 다녀오면 충전도 되고 새로운 아이디어가 떠오를텐데... "
101,고기도 떨어지고 메뉴 아이디어가 고갈된 나는 남아있던 크래미와 오징어를 계란에 풀어 코코넛가루를 넣고 전처럼 만들어보려고 했다. 사진처럼 비주얼이 엉망진창인 결과물이 나왔다. 그래도 맛은 나쁘지... 
102,지금 YES에서 &lt;아이디어가 고갈된 디자이너를 위한 책 : 로고 디자인 편&gt;을 구매하시면 '네오 민트' 컬러로 제작된 팬톤  컬러 메모지를 증정합니다 :D ▼ 사은품 이벤트 바로가기!▼ https:it.ly... 
103,빙수를 노리는 진기명기 !! 설비 아 급 귀 to the 찮아서 그만쓰겠다. BUT 돌아Ω 이유는 (( lah lah lah)) 년부터 년 비구디의 생일부터 제 생일까지 아침 시마다 에어컨이 도 로 틀어지게... 
104,예.... 아이디어가 고갈되서 낙서식으로 그려본 도트입니다... 어렸을때 처럼 아이디어가 많았으면ㅠㅠ
105,전공 분야가 아닌 것을 가르치면 아무래도 아이디어 고갈이 빨리 온다. 그래도 내가 맡겠다고 한 것을 열심히 안 할 순 없으니 매주 정신력을 깎아먹으며 책임감 있게 환경 수업을 준비하고 있다. 결과적으로... 
106,"이제는 아이디어 고갈입니다.. 어제 사진을 보니, 우와 하루에 몇 탕을 하고 논거지? 이런 생각이 들더라고요. 아이들은 말도 못하고 얼마나 답답할까, 라는 생각이 드는 요즘이예요. 집콕놀이 . 파리잡기 그녀가... "
107,하이염 스티커를 받았으면 써주는게 인지상정 월요일부터 외출했으요 집 오면서 고니즈에서 도넛 사옴 근데 난 분명히 레몬크림 두개 얼그레이 한개 샀는데 집와서 열어보니까 레몬크림 한개 얼그레이 두개... 
